Main_Feature,Province,Sub_Feature,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,2022,Sơ bộ 2022
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Thái Nguyên,Tỷ suất xuất cư,,,,5.8,,5.6,5.4,7.9,6.9,9.7,7.2,8.5,7.8,4.9,3.7,3.1,2.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Lạng Sơn,Tỷ suất xuất cư,,,,3,,5.4,5.5,7.3,8.2,8.1,7.8,6.3,7.1,5.3,3.6,4,3,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bắc Giang,Tỷ suất xuất cư,,,,4.9,,6.4,4.3,10.3,10,10.4,6.8,9.2,5.8,4.2,7,2.5,2.8,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Phú Thọ,Tỷ suất xuất cư,,,,3.5,,4.8,3.6,9.6,14.2,13.7,5,7,7.7,3.4,3.8,1,3.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Điện Biên,Tỷ suất xuất cư,,,,0.9,,3.7,3.7,3.9,1.3,2.1,3.6,4.5,2.7,1.4,1.7,3.2,1.4,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Lai Châu,Tỷ suất xuất cư,,,,3.3,,4.4,8.1,2.9,2.5,4.1,3.4,4.7,3.8,16.7,16.1,3.1,1.8,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Sơn La,Tỷ suất xuất cư,,,,1.7,,2.1,2.4,2.3,2.4,1.8,3.4,2.6,3,1.9,2,1.3,6,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hòa Bình,Tỷ suất xuất cư,,,,2.9,,4.4,3.1,6.3,5.8,7.8,5.8,10.9,8.4,3.4,2.2,2.2,5.3,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bắc Trung Bộ và duyên hải miền Trung,Tỷ suất xuất cư,,,,4.6,,6.1,4.5,9,8.8,8.7,6.5,6.7,7.1,4.4,3,2.6,3.3,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Thanh Hóa,Tỷ suất xuất cư,,,,6.1,,8.8,7.6,14.9,13,14.5,10.3,11,10.1,7.2,3.9,4.8,4.2,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Nghệ An,Tỷ suất xuất cư,,,,4.5,,5.7,4.5,11.4,10.3,11.8,10.5,12.5,10.1,5.4,3,2.7,4.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hà Tĩnh,Tỷ suất xuất cư,,,,5.1,,10.6,6.4,15.2,14.4,12.4,12.8,11,14.9,8.2,5.1,4.9,5.5,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Quảng Bình,Tỷ suất xuất cư,,,,3.4,,5.7,6.9,11.5,13.4,10.3,7.6,14.5,11.4,6.6,5.3,3.3,4.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Quảng Trị,Tỷ suất xuất cư,,,,5.6,,11.5,3.6,10.2,11.4,10,8.4,10.2,10.9,7.4,9.2,2.4,4.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Thừa Thiên - Huế,Tỷ suất xuất cư,,,,8.4,,7.5,8.8,9.9,10.3,8.6,7.7,7.1,11.6,8.4,9.7,2.7,6.1,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Đà Nẵng,Tỷ suất xuất cư,,,,4.7,,6.0,5.5,4.8,3.4,7.9,6.3,9.7,13.8,6.7,5.8,2.7,1.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Quảng Nam,Tỷ suất xuất cư,,,,6.5,,7.1,6.1,10.4,14.6,11.1,6.9,7.7,6.7,6.3,5.1,3,2.8,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Quảng Ngãi,Tỷ suất xuất cư,,,,5.5,,7.8,5.4,11.4,12,13.3,7.6,6,8.4,3.1,2.8,7.9,5.2,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bình Định,Tỷ suất xuất cư,,,,5.7,,7.5,4.3,10.8,9.9,10,9.8,7.5,8.2,3.3,4.2,2.5,2.3,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Phú Yên,Tỷ suất xuất cư,,,,1.5,,3.5,6.7,7.6,8.4,14,6.2,6.3,7.7,9.3,2.8,2.9,4.2,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Khánh Hòa,Tỷ suất xuất cư,,,,5.3,,5.1,3.9,5.6,11.9,8.4,5.5,4.7,7.4,4.9,3.7,0.8,1.3,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Ninh Thuận,Tỷ suất xuất cư,,,,1.6,,4.6,2.6,8.8,17.1,15.8,4.5,3.1,6.8,5.3,4.9,3,2.3,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bình Thuận,Tỷ suất xuất cư,,,,4.2,,9.0,5.3,7.6,9.6,8.5,6.1,8.5,6.9,3.1,1.5,2.5,3,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Tây Nguyên,Tỷ suất xuất cư,,,,4.9,,6.1,6.4,5.5,6.1,8.4,5,6.1,6.1,3.4,4.4,2.6,3.2,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Kon Tum,Tỷ suất xuất cư,,,,4.2,,5.7,2.4,3.9,4.1,9.8,5.3,5.9,7.6,1.9,6.1,1.1,2.7,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Gia Lai,Tỷ suất xuất cư,,,,3.4,,6.0,6,4.9,5.9,6.9,5.3,8.1,7.1,2.3,3.5,4.1,2.2,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Đắk Lắk,Tỷ suất xuất cư,,,,7.5,,9.7,7.1,8.3,8.8,12.3,7.8,8.5,6.1,4.5,4.9,3,4,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Đắk Nông,Tỷ suất xuất cư,,,,1.5,,4.5,3,5.7,3.2,10.7,6.1,6.7,7.1,4.9,6.2,4.4,5.3,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Lâm Đồng,Tỷ suất xuất cư,,,,5.5,,4.5,12.3,8.4,7.5,8.3,8.9,8.4,9.1,5.3,4.4,2.1,4,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Đông Nam Bộ,Tỷ suất xuất cư,,,,3.1,,5.5,4.8,1.9,4.9,8.6,3.8,7.4,7.3,3.1,2.4,2.4,1.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bình Phước,Tỷ suất xuất cư,,,,6.6,,12.1,9.1,9.3,17.2,11.7,8.9,9.2,12,3.6,4.3,4.7,3,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Tây Ninh,Tỷ suất xuất cư,,,,6.8,,8.2,6.8,7.4,7.2,7.5,3.9,6.3,6.5,4.2,3.8,1.5,1.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bình Dương,Tỷ suất xuất cư,,,,9.2,,19.6,15.2,5.1,15,22.1,10.2,19.9,18.2,10,8.8,6.7,5.7,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Đồng Nai,Tỷ suất xuất cư,,,,6,,10.6,9.7,7.6,10.8,9.3,6,7.9,11.7,6.2,5.3,3.9,1.8,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bà Rịa - Vũng Tàu,Tỷ suất xuất cư,,,,6.1,,8.8,7.6,8.2,8.9,10.8,7.7,6.9,7.8,5.3,3.5,2.2,3.1,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",TP. Hồ Chí Minh,Tỷ suất xuất cư,,,,5,,8.6,6.6,4.2,7.8,13.5,7.2,10.3,11.4,5.7,4.1,3.2,3.2,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Đồng bằng sông Cửu Long,Tỷ suất xuất cư,,,,2.6,,6.1,4.8,9.3,10.2,9.6,6.5,7,8.9,6.5,5.7,4.6,6.8,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Long An,Tỷ suất xuất cư,,,,6.5,,10.2,8.7,9.9,9,7.7,7.5,6.8,8.8,6.5,6.3,4,7.1,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Tiền Giang,Tỷ suất xuất cư,,,,5.3,,8.9,7.2,11.7,9.2,9.5,9.4,6.5,7.3,5.3,3.2,3.5,5.1,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bến Tre,Tỷ suất xuất cư,,,,6.6,,10.1,7.3,15.7,15.1,15.5,10.8,9.2,13.9,7.4,6.3,4,6.8,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Trà Vinh,Tỷ suất xuất cư,,,,2.7,,8.0,2.7,14.5,9.1,12.7,8.7,7.3,12.4,5.5,3.9,3.1,12.4,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Vĩnh Long,Tỷ suất xuất cư,,,,4.5,,7.7,5.8,14.9,17.6,11.5,9.3,7.2,10.6,7.7,3.5,7.8,4,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Đồng Tháp,Tỷ suất xuất cư,,,,5.7,,8.6,5.1,11.5,10.7,11.1,8.8,9.5,9.6,9.1,7.6,7,6.2,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",An Giang,Tỷ suất xuất cư,,,,3.5,,4.6,5,11,11.9,16,11.2,11.3,12.7,11.8,10.4,5,11.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Kiên Giang,Tỷ suất xuất cư,,,,3.4,,6.1,4,9.3,14.5,15.2,8.8,10.8,9.6,9.9,11,10.8,6.8,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Cần Thơ,Tỷ suất xuất cư,,,,5.5,,7.0,7.3,9.5,11.5,11,7.1,13.6,11.4,7.7,6.3,2.6,6.3,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hậu Giang,Tỷ suất xuất cư,,,,4,,12.6,10.4,10.8,10.9,5.4,11.6,10.8,18,6.1,3.8,8.9,6.4,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Sóc Trăng,Tỷ suất xuất cư,,,,4.3,,8.4,4.2,11.4,12.7,14.8,10.2,9.5,12,6.2,6.6,8.3,15,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bạc Liêu,Tỷ suất xuất cư,,,,2.6,,6.6,3.1,10.8,13.2,9.6,10.7,16.4,16.6,7.6,7.5,4.4,6.9,,,,,,
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Cà Mau,Tỷ suất xuất cư,,,,2.1,,7.2,6.5,12.8,29.7,16.3,8.2,11.4,16.4,7.7,9.1,9.4,7.7,,,,,,
